frame,time_s,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
346,5.77243,524,491,561,651,-31.701,13.021,0
347,5.78912,520,489,547,651,-33.294,9.462,0
348,5.8058,519,488,532,652,-33.789,4.532,0
349,5.82248,519,488,517,652,-33.789,-0.699,0
350,5.83917,520,489,501,651,-33.294,-6.689,0
351,5.85585,523,491,486,650,-32.005,-13.1,0
352,5.87253,526,493,470,645,-30.719,-20.225,0
353,5.88922,531,497,457,639,-28.469,-27.525,0
354,5.9059,537,500,445,631,-26.089,-35.08,0
355,5.92258,544,503,436,620,-23.385,-42.709,0
356,5.93927,550,505,429,610,-21.14,-49.05,0
357,5.95595,556,508,425,598,-18.771,-55.51,0
358,5.97263,562,509,423,588,-16.631,-60.388,0
359,5.98932,567,510,423,579,-14.816,-64.398,0
360,6.006,571,512,424,571,-13.261,-68.131,0
361,6.02268,577,512,426,564,-11.17,-70.998,0
362,6.03937,581,514,429,560,-9.638,-73.163,0
363,6.05605,586,514,433,557,-7.878,-74.302,0
364,6.07273,591,515,437,557,-6.065,-74.745,0
365,6.08942,595,515,441,558,-4.645,-74.399,0
366,6.1061,600,515,446,561,-2.862,-73.369,0
367,6.12278,604,515,451,566,-1.432,-71.565,0
368,6.13947,607,515,457,572,-0.358,-69.193,0
369,6.15615,610,515,464,582,0.716,-65.349,0
370,6.17283,613,515,472,592,1.79,-61.361,0
371,6.18952,615,515,481,604,2.505,-56.409,0
372,6.2062,616,515,491,616,2.862,-51.062,0
373,6.22288,617,515,504,631,3.219,-44.249,0
374,6.23957,615,515,518,645,2.505,-36.729,0
375,6.25625,613,515,535,658,1.79,-28.61,0
376,6.27293,609,515,556,669,0.358,-18.991,0
377,6.28962,603,515,578,676,-1.79,-8.826,0
378,6.3063,597,515,601,678,-3.933,1.406,0
379,6.32298,591,514,625,674,-6.103,11.997,0
380,6.33967,586,514,646,666,-7.878,21.541,0
381,6.35635,583,513,665,656,-8.991,29.831,0
382,6.37303,582,512,683,643,-9.403,37.632,0
383,6.38972,582,513,696,632,-9.345,43.771,0
384,6.4064,584,513,709,620,-8.637,49.436,0
385,6.42308,586,513,721,608,-7.927,54.866,0
386,6.43977,590,514,730,599,-6.459,58.736,0
387,6.45645,594,514,739,591,-5.032,62.03,0
388,6.47313,599,514,747,584,-3.24,64.687,0
389,6.48982,604,515,755,579,-1.432,67.031,0
390,6.5065,609,515,761,577,0.358,67.81,0
391,6.52318,615,515,767,576,2.505,68.134,0
392,6.53987,621,515,,,,,1
393,6.55655,627,514,777,579,6.814,66.571,0
394,6.57323,634,512,781,583,9.403,64.22,0
395,6.58992,640,512,783,589,11.52,61.699,0
396,6.6066,647,510,785,597,14.123,57.771,0
