frame,time_s,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
165,2.75275,669,503,777,624,22.4,41.751,0
166,2.76943,677,499,771,634,25.602,34.849,0
167,2.78612,685,496,761,640,28.639,27.824,0
168,2.8028,691,492,749,644,31.209,20.886,0
169,2.81948,696,489,736,648,33.294,14.121,0
170,2.83617,698,486,723,649,34.49,8.72,0
171,2.85285,701,485,710,650,35.579,3.122,0
172,2.86953,701,484,696,649,35.789,-1.736,0
173,2.88622,702,485,684,649,35.87,-6.263,0
174,2.9029,699,486,674,649,34.786,-8.72,0
175,2.91958,696,488,662,650,33.491,-11.853,0
176,2.93627,692,490,651,651,31.891,-14.287,0
177,2.95295,686,495,642,653,29.124,-15.562,0
178,2.96963,679,499,632,657,26.246,-16.566,0
179,2.98632,671,502,624,661,23.199,-16.468,0
180,3.003,660,507,616,665,18.886,-15.562,0
181,3.01968,649,510,610,669,14.816,-13.782,0
182,3.03637,637,514,605,674,10.337,-11.31,0
183,3.05305,622,517,600,677,4.939,-7.829,0
184,3.06973,608,516,597,679,0.0,-3.861,0
185,3.08642,593,516,594,678,-5.323,0.354,0
186,3.1031,578,514,590,675,-10.685,4.263,0
187,3.11978,565,510,586,671,-15.505,7.431,0
188,3.13647,554,507,580,667,-19.558,9.23,0
189,3.15315,544,502,575,661,-23.527,11.032,0
190,3.16983,535,497,569,656,-27.207,12.07,0
191,3.18652,527,493,560,652,-30.411,11.725,0
192,3.2032,521,491,552,649,-32.607,11.101,0
193,3.21988,515,487,542,647,-35.166,9.578,0
194,3.23657,512,484,533,645,-36.656,7.431,0
195,3.25325,509,484,523,645,-37.504,4.97,0
196,3.26993,508,482,512,644,-38.217,1.414,0
197,3.28662,508,482,501,644,-38.217,-2.474,0
198,3.3033,509,483,489,644,-37.72,-7.081,0
199,3.31998,513,485,477,643,-36.158,-12.836,0
200,3.33667,516,488,465,641,-34.673,-18.435,0
201,3.35335,521,492,454,638,-32.417,-24.651,0
202,3.37003,527,496,444,633,-29.876,-31.209,0
203,3.38672,536,499,436,626,-26.565,-38.217,0
204,3.4034,543,504,431,618,-23.569,-44.493,0
205,3.42008,552,505,429,610,-20.472,-49.514,0
206,3.43677,560,508,429,601,-17.418,-54.628,0
207,3.45345,567,510,431,594,-14.816,-58.299,0
208,3.47013,573,513,435,588,-12.49,-61.477,0
209,3.48682,580,515,438,584,-9.926,-64.084,0
210,3.5035,587,515,443,581,-7.477,-65.376,0
211,3.52018,594,516,449,580,-4.97,-66.184,0
212,3.53687,600,517,455,580,-2.827,-66.516,0
213,3.55355,606,517,460,583,-0.707,-65.674,0
214,3.57023,612,516,468,587,1.423,-63.754,0
215,3.58692,618,516,477,593,3.554,-61.361,0
216,3.6036,622,516,487,601,4.97,-57.804,0
217,3.62028,627,516,497,611,6.73,-53.842,0
218,3.63697,630,515,507,622,7.829,-48.979,0
219,3.65365,632,515,521,633,8.531,-43.249,0
220,3.67033,632,514,537,645,8.584,-35.949,0
221,3.68702,631,515,554,657,8.18,-28.469,0
222,3.7037,630,515,573,668,7.829,-20.433,0
223,3.72038,625,515,595,675,6.065,-10.62,0
224,3.73707,620,516,617,678,4.263,-1.061,0
225,3.75375,614,515,641,676,2.148,9.52,0
226,3.77043,608,517,662,669,0.0,19.558,0
227,3.78712,604,516,681,658,-1.423,28.469,0
228,3.8038,601,517,697,646,-2.474,36.656,0
