frame,time_s,gx_crop,gy_crop,rx_crop,ry_crop
374,6.239567,302,480,433,553
375,6.256250,284,478,421,544
376,6.272933,267,473,408,536
377,6.289617,254,469,394,533
378,6.306300,244,464,381,533
379,6.322983,236,460,369,537
380,6.339667,232,456,359,543
381,6.356350,233,458,352,556
382,6.373033,238,461,345,572
383,6.389717,246,465,335,588
384,6.406400,257,470,324,606
385,6.423083,270,475,310,622
386,6.439767,288,480,291,631
387,6.456450,309,482,272,628
388,6.473133,329,480,258,613
389,6.489817,347,477,250,590
390,6.506500,364,472,246,567
391,6.523183,378,467,246,544
392,6.539867,388,461,249,522
393,6.556550,396,456,251,503
394,6.573233,401,453,252,487
395,6.589917,404,451,252,474
396,6.606600,404,451,252,462
397,6.623283,402,452,249,452
398,6.639967,396,456,244,445
399,6.656650,386,462,236,439
400,6.673333,376,467,227,435
401,6.690017,363,473,216,435
402,6.706700,349,477,202,437
403,6.723383,334,480,185,440
404,6.740067,318,482,168,448
405,6.756750,301,481,148,458
406,6.773433,284,478,129,472
407,6.790117,266,474,113,489
408,6.806800,249,467,102,510
409,6.823483,232,458,98,532
410,6.840167,218,449,105,550
411,6.856850,209,441,118,562
412,6.873533,209,440,131,570
413,6.890217,213,443,143,578
414,6.906900,219,448,155,586
415,6.923583,227,455,167,595
416,6.940267,239,463,180,601
417,6.956950,254,469,192,608
418,6.973633,271,475,207,612
419,6.990317,289,480,223,614
420,7.007000,309,482,240,615
421,7.023683,330,480,262,615
422,7.040367,348,477,285,614
423,7.057050,363,472,310,614
424,7.073733,375,468,338,615
425,7.090417,381,464,369,616
426,7.107100,384,463,401,614
427,7.123783,382,464,434,606
428,7.140467,376,467,464,589
429,7.157150,369,470,485,564
430,7.173833,361,472,498,535
431,7.190517,353,475,501,505
432,7.207200,343,477,496,474
433,7.223883,334,480,483,446
434,7.240567,324,480,465,422
435,7.257250,313,481,445,403
436,7.273933,300,480,422,386
437,7.290617,288,479,400,374
438,7.307300,274,476,378,363
439,7.323983,262,472,359,354
440,7.340667,252,468,340,344
441,7.357350,246,465,325,335
442,7.374033,243,463,303,324
443,7.390717,242,464,286,317
444,7.407400,248,466,264,315
445,7.424083,258,470,238,319
446,7.440767,269,474,213,332
447,7.457450,281,477,190,354
448,7.474133,294,480,171,388
449,7.490817,306,481,163,430
450,7.507500,316,481,165,477
451,7.524183,323,480,181,532
452,7.540867,328,480,215,581
453,7.557550,329,480,262,614
454,7.574233,323,481,330,631
455,7.590917,314,481,390,611
456,7.607600,314,480,432,574
457,7.624283,318,480,463,529
458,7.640967,328,480,479,478
459,7.657650,341,478,486,438
460,7.674333,353,475,484,399
461,7.691017,364,472,472,367
462,7.707700,370,469,456,344
463,7.724383,374,467,436,328
464,7.741067,373,467,415,321
465,7.757750,368,469,395,319
466,7.774433,362,472,376,320
467,7.791117,353,475,357,323
468,7.807800,341,478,341,326
469,7.824483,330,480,325,328
470,7.841167,316,481,304,329
471,7.857850,305,481,290,330
472,7.874533,296,480,269,331
473,7.891217,290,479,249,335
474,7.907900,288,478,227,340
475,7.924583,288,479,205,352
476,7.941267,294,480,186,373
477,7.957950,302,481,170,403
478,7.974633,310,481,163,440
479,7.991317,316,481,165,482
480,8.008000,321,480,177,526
481,8.024683,326,481,205,570
482,8.041367,328,480,244,607
483,8.058050,330,480,295,628
484,8.074733,331,480,350,630
485,8.091417,334,480,402,614
486,8.108100,338,479,441,585
487,8.124783,344,477,477,549
488,8.141467,352,475,498,513
489,8.158150,361,473,513,477
490,8.174833,371,469,519,442
491,8.191517,378,466,519,412
492,8.208200,385,462,515,386
493,8.224883,388,461,505,365
494,8.241567,385,463,490,352
495,8.258250,380,465,472,344
496,8.274933,373,468,457,338
497,8.291617,365,471,439,337
498,8.308300,354,475,424,338
499,8.324983,339,478,410,341
500,8.341667,324,480,397,345
501,8.358350,306,481,387,349
502,8.375033,289,479,379,354
503,8.391717,273,476,374,359
504,8.408400,260,471,369,363
505,8.425083,250,467,367,368
506,8.441767,245,465,365,371
507,8.458450,248,466,367,371
508,8.475133,254,469,370,370
509,8.491817,261,472,375,370
510,8.508500,270,475,382,371
511,8.525183,282,478,391,372
512,8.541867,296,480,403,371
513,8.558550,311,481,416,372
514,8.575233,326,480,433,373
515,8.591917,342,478,453,374
516,8.608600,357,474,474,376
517,8.625283,372,469,497,383
518,8.641967,384,463,518,392
519,8.658650,395,457,538,406
520,8.675333,405,450,553,425
521,8.692017,412,443,563,447
522,8.708700,419,436,565,472
523,8.725383,420,436,558,494
524,8.742067,416,440,546,515
525,8.758750,411,444,530,536
526,8.775433,405,449,510,556
527,8.792117,395,457,488,574
528,8.808800,383,464,462,591
529,8.825483,369,470,435,605
530,8.842167,351,476,405,617
531,8.858850,333,480,373,625
532,8.875533,315,481,339,630
533,8.892217,299,480,303,632
534,8.908900,283,479,266,628
535,8.925583,272,476,229,621
536,8.942267,264,473,192,607
537,8.958950,258,471,160,587
538,8.975633,254,469,134,562
539,8.992317,254,469,115,531
540,9.009000,259,471,109,497
541,9.025683,263,473,111,464
542,9.042367,268,474,121,433
543,9.059050,273,476,137,407
544,9.075733,279,478,158,385
545,9.092417,288,479,181,369
546,9.109100,298,480,207,358
547,9.125783,311,481,232,350
548,9.142467,324,480,256,345
549,9.159150,337,479,278,338
550,9.175833,347,476,299,334
551,9.192517,355,474,324,326
552,9.209200,360,472,345,323
553,9.225883,362,472,369,321
554,9.242567,361,472,394,324
555,9.259250,357,473,420,335
556,9.275933,349,476,444,357
557,9.292617,340,478,463,387
558,9.309300,332,480,475,427
559,9.325983,324,480,474,474
560,9.342667,318,480,463,524
561,9.359350,314,481,434,564
562,9.376033,313,480,390,610
563,9.392717,313,481,333,631
564,9.409400,315,482,274,628
565,9.426083,313,481,224,604
566,9.442767,308,481,183,565
567,9.459450,299,480,158,531
568,9.476133,288,479,134,493
569,9.492817,278,477,125,455
570,9.509500,268,475,125,423
571,9.526183,262,473,132,394
572,9.542867,259,472,144,373
573,9.559550,260,472,161,357
