stem,x_param,theta1_deg,omega1_deg_s
2.8V_1Hz,2.8000,-12.9339,388.4751
2.8V_1Hz,2.8000,-10.1925,370.7662
2.8V_1Hz,2.8000,-9.9401,355.2431
2.8V_1Hz,2.8000,-6.9557,374.7292
2.8V_1Hz,2.8000,-5.7480,398.1056
2.8V_1Hz,2.8000,-6.9786,371.8369
2.8V_1Hz,2.8000,-9.7201,374.2509
2.8V_1Hz,2.8000,-8.4796,416.4724
2.8V_1Hz,2.8000,-8.9593,379.2912
2.8V_1Hz,2.8000,-18.6808,369.8536
2.8V_1Hz,2.8000,-18.2994,536.3516
2.8V_1Hz,2.8000,-29.1451,330.7013
2.8V_1Hz,2.8000,-39.9451,257.8026
2.8V_1Hz,2.8000,-31.1018,238.7384
2.8V_1Hz,2.8000,-14.2820,442.5059
2.8V_1Hz,2.8000,-26.4951,550.6849
2.8V_1Hz,2.8000,-21.4433,354.0833
2.8V_1Hz,2.8000,-9.3561,350.6857
2.8V_1Hz,2.8000,-26.6593,335.8123
2.8V_1Hz,2.8000,-32.7115,366.0003
2.8V_1Hz,2.8000,-20.2174,500.9277
2.8V_1Hz,2.8000,-19.9471,323.4658
2.8V_1Hz,2.8000,-21.9650,295.2490
2.8V_1Hz,2.8000,-33.0078,410.0453
2.8V_1Hz,2.8000,-14.9412,297.5287
2.8V_1Hz,2.8000,-17.6504,309.1604
2.8V_1Hz,2.8000,-12.0682,325.8981
3V_1Hz,3.0000,-0.7850,0.0000
3V_1Hz,3.0000,-0.7850,0.0000
3V_1Hz,3.0000,-0.7850,-0.0916
3V_1Hz,3.0000,19.3011,203.2089
3V_1Hz,3.0000,-4.1201,273.6636
3V_1Hz,3.0000,-16.7453,304.4886
3V_1Hz,3.0000,-16.3710,321.8909
3V_1Hz,3.0000,-16.7126,350.8024
3V_1Hz,3.0000,4.9070,370.3004
3V_1Hz,3.0000,-1.2117,404.8099
3V_1Hz,3.0000,2.5935,366.7856
3V_1Hz,3.0000,6.1721,443.1794
3V_1Hz,3.0000,-6.7771,242.8427
3V_1Hz,3.0000,-15.9109,354.0889
3V_1Hz,3.0000,-23.1554,333.4042
3V_1Hz,3.0000,-13.9199,380.5979
3V_1Hz,3.0000,-20.5404,455.7435
3V_1Hz,3.0000,-16.4331,431.7758
3V_1Hz,3.0000,11.9007,421.1474
3V_1Hz,3.0000,0.6527,443.4781
3V_1Hz,3.0000,6.6943,484.9617
3V_1Hz,3.0000,-26.6119,142.6738
3V_1Hz,3.0000,-17.2745,398.9925
3V_1Hz,3.0000,-8.1465,313.0992
3V_1Hz,3.0000,14.6220,471.3818
3V_1Hz,3.0000,-7.6414,722.3432
3V_1Hz,3.0000,3.7538,415.8941
3V_1Hz,3.0000,9.4119,566.1451
3V_1Hz,3.0000,-6.1487,396.2628
3V_1Hz,3.0000,-12.4290,306.8656
3V_1Hz,3.0000,3.5945,420.6747
3V_1Hz,3.0000,-27.6373,394.3558
3V_1Hz,3.0000,-13.4900,369.7848
