frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,omega_cap_suspect
97,1.61828,free_swing,472,448,640,438,-58.728,93.406,0,-209.35,-445.38,1,168.30,19.26,2500,1,0,0
98,1.63497,free_swing,462,438,607,474,-62.194,76.057,0,-178.27,-574.68,0,149.40,5.87,2500,0,0,0
99,1.65165,free_swing,456,430,597,484,-64.666,69.044,0,-134.85,-332.15,1,150.99,6.99,2500,1,0,0
100,1.66833,free_swing,451,424,590,479,-66.541,68.412,0,-76.77,-443.72,0,149.49,5.93,2500,0,0,0
101,1.68502,free_swing,450,421,579,484,-67.323,63.970,0,-18.68,-99.75,1,143.56,1.73,2500,1,0,0
102,1.7017,free_swing,450,422,556,525,-67.094,45.822,0,38.29,33.86,0,147.80,4.73,2500,0,0,0
103,1.71838,free_swing,452,426,571,463,-65.987,72.728,0,88.52,-365.62,1,124.62,11.69,2500,1,0,0
104,1.73507,free_swing,457,432,540,510,-64.106,46.779,0,149.77,-940.36,1,113.90,19.29,2500,1,0,0
105,1.75175,free_swing,466,441,507,555,-61.044,19.781,0,232.62,-1538.74,1,121.15,14.15,2500,1,0,0
106,1.76843,free_swing,479,454,490,555,-56.454,6.216,0,319.32,-1209.35,1,101.60,28.01,2500,1,0,0
107,1.78512,free_swing,498,468,462,589,-50.503,-16.569,0,367.72,-1166.21,1,126.24,10.54,2500,0,0,0
108,1.8018,free_swing,520,479,438,580,-44.210,-39.072,0,360.52,-1270.16,0,130.10,7.81,2500,0,0,0
109,1.81848,free_swing,540,486,440,560,-38.614,-53.499,0,314.58,-860.77,1,124.40,11.85,2500,1,0,0
110,1.83517,free_swing,558,489,447,523,-33.774,-72.970,0,276.13,-862.81,1,116.09,17.74,2500,0,0,0
111,1.85185,free_swing,573,491,432,526,-29.511,-76.059,0,253.61,-764.42,0,145.28,2.95,2500,0,0,0
112,1.86853,free_swing,588,492,473,472,-25.115,-99.866,0,245.95,-376.25,1,116.73,17.29,2500,1,0,0
113,1.88522,free_swing,602,490,467,475,-21.110,-96.340,0,262.61,-160.38,1,135.83,3.75,2500,1,0,0
114,1.9019,free_swing,617,487,474,476,-16.530,-94.399,0,301.35,47.09,1,143.42,1.63,2500,1,0,0
115,1.91858,free_swing,634,482,497,457,-10.942,-100.342,0,351.89,-183.94,1,139.26,1.32,2500,1,0,0
116,1.93527,free_swing,651,476,513,447,-4.764,-101.868,0,374.91,-159.56,0,141.01,0.08,2500,0,0,0
117,1.95195,free_swing,667,467,527,438,1.697,-101.703,0,396.10,114.65,1,142.97,1.31,2500,1,0,0
118,1.96863,free_swing,681,458,544,432,8.130,-100.746,0,424.18,431.24,1,139.45,1.19,2500,1,0,0
119,1.98532,free_swing,695,446,555,449,15.680,-88.772,0,436.39,545.86,0,140.03,0.77,2500,0,0,0
120,2.002,free_swing,706,434,573,462,22.859,-78.111,0,407.81,395.58,0,135.92,3.69,2500,0,0,0
121,2.01868,free_swing,714,424,591,454,29.002,-76.293,0,344.44,478.38,1,126.61,10.29,2500,0,0,0
122,2.03537,free_swing,720,417,610,459,33.845,-69.102,0,237.52,602.09,1,117.75,16.56,2500,0,0,0
123,2.05205,free_swing,723,411,623,501,37.216,-48.013,0,95.66,810.90,1,134.54,4.67,2500,1,0,0
124,2.06873,free_swing,723,412,646,491,36.870,-44.265,0,-67.96,748.07,1,110.32,21.83,2500,0,0,0
125,2.08542,free_swing,721,416,663,534,34.624,-26.175,0,-231.92,732.20,0,131.48,6.83,2500,0,0,0
126,2.1021,free_swing,716,425,688,530,29.678,-14.931,0,-355.84,994.88,1,108.67,23.00,2500,1,0,0
127,2.11878,free_swing,706,436,711,522,22.463,3.327,0,-482.41,1128.00,1,86.15,38.96,2500,0,0,0
128,2.13547,free_swing,693,450,733,537,14.265,24.692,0,-548.80,1489.74,1,95.75,32.15,2500,1,0,0
129,2.15215,free_swing,673,465,739,521,4.300,49.686,0,-541.95,1491.66,1,86.56,38.66,2500,0,0,0
130,2.16883,free_swing,653,477,759,504,-3.945,75.710,0,-467.50,1053.90,1,109.38,22.49,2500,1,0,0
131,2.18552,free_swing,634,484,769,490,-10.802,87.455,0,-359.51,605.62,1,135.13,4.24,2500,1,0,0
132,2.2022,free_swing,618,488,765,486,-16.091,90.779,0,-290.35,444.21,0,147.01,4.18,2500,0,0,0
133,2.21888,free_swing,604,490,758,455,-20.477,102.804,0,-247.95,470.58,1,157.93,11.91,2500,0,0,0
134,2.23557,free_swing,590,492,748,433,-24.525,110.477,0,-234.59,273.41,1,168.66,19.51,2500,0,0,0
135,2.25225,free_swing,577,491,732,431,-28.408,111.161,0,-236.32,106.72,1,166.21,17.78,2500,0,0,0
136,2.26893,free_swing,562,491,722,433,-32.425,109.926,0,-245.26,-29.63,1,170.19,20.60,2500,0,0,0
137,2.28562,free_swing,547,488,708,411,-36.634,115.560,0,-257.55,13.57,1,178.47,26.46,2500,0,0,0
138,2.3023,free_swing,531,484,690,433,-40.972,107.784,0,-260.39,-96.53,1,166.98,18.32,2500,0,0,0
139,2.31898,free_swing,516,477,678,412,-45.392,111.862,0,-264.82,-180.28,1,174.55,23.69,2500,0,0,0
140,2.33567,free_swing,501,470,661,429,-49.574,104.373,0,-252.24,-140.41,1,165.17,17.04,2500,0,0,0
141,2.35235,free_swing,487,460,648,423,-53.973,102.943,0,-236.91,-396.14,1,165.20,17.06,2500,1,0,0
142,2.36903,free_swing,476,452,640,432,-57.311,96.953,0,-209.18,-286.36,1,165.22,17.07,2500,0,0,0
143,2.38572,free_swing,466,442,619,453,-60.822,85.888,0,-170.74,-577.88,1,153.39,8.70,2500,1,0,0
144,2.4024,free_swing,460,435,603,448,-63.097,84.806,0,-119.50,-621.80,0,143.59,1.75,2500,0,0,0
145,2.41908,free_swing,456,430,584,498,-64.666,62.021,0,-51.20,-783.17,0,144.94,2.71,2500,0,0,0
146,2.43577,free_swing,455,430,566,499,-64.772,58.134,0,19.38,-667.32,0,130.70,7.39,2500,0,0,0
147,2.45245,free_swing,458,432,542,530,-63.997,40.601,0,97.43,-512.40,0,129.07,8.54,2500,0,0,0
148,2.46913,free_swing,465,439,537,530,-61.613,38.351,0,163.27,-958.00,1,116.04,17.77,2500,1,0,0
149,2.48582,free_swing,474,449,503,554,-58.241,15.440,0,252.01,-1292.75,1,108.93,22.81,2500,1,0,0
150,2.5025,free_swing,488,460,461,595,-53.817,-11.310,0,325.76,-1458.65,0,137.67,2.44,2500,0,0,0
151,2.51918,free_swing,509,474,444,575,-47.322,-32.764,0,364.05,-1262.01,1,120.11,14.89,2500,0,0,0
152,2.53587,free_swing,529,483,420,577,-41.586,-49.226,0,334.89,-1358.38,0,143.93,1.99,2500,0,0,0
153,2.55255,free_swing,547,489,428,522,-36.459,-74.501,0,268.57,-1060.58,1,123.49,12.49,2500,1,0,0
154,2.56923,free_swing,562,490,445,481,-32.588,-94.399,0,227.81,-474.94,1,117.35,16.85,2500,1,0,0
155,2.58592,free_swing,574,493,423,498,-28.934,-88.103,0,203.28,-401.87,0,151.08,7.06,2500,0,0,0
156,2.6026,free_swing,587,492,433,475,-25.408,-96.299,0,222.58,-635.57,1,154.94,9.79,2500,1,0,0
157,2.61928,free_swing,600,490,478,416,-21.739,-121.239,0,258.44,-665.92,0,142.69,1.11,2500,0,0,0
