stem,x_param,theta1_deg,omega1_deg_s
3.2V_0.98Hz,3.2000,6.8098,525.4042
3.2V_0.98Hz,3.2000,14.9957,104.6758
3.2V_0.98Hz,3.2000,32.7136,302.8449
3.2V_0.98Hz,3.2000,5.5096,589.6983
3.2V_0.98Hz,3.2000,21.9108,181.8903
3.2V_0.98Hz,3.2000,32.3382,661.4920
3.2V_0.98Hz,3.2000,18.1055,121.3829
3.2V_0.98Hz,3.2000,32.0619,225.3148
3.2V_0.98Hz,3.2000,59.0936,301.1281
3.2V_0.98Hz,3.2000,20.5262,101.7089
3.2V_0.98Hz,3.2000,32.5782,442.9432
3.2V_0.98Hz,3.2000,25.8538,235.1464
3.2V_0.98Hz,3.2000,46.0131,320.5811
3.2V_0.98Hz,3.2000,37.1340,-17.5631
3.2V_0.98Hz,3.2000,18.9658,12.8836
3.2V_0.98Hz,3.2000,17.1889,96.1806
3.2V_0.98Hz,3.2000,33.1697,438.1829
3.2V_0.98Hz,3.2000,6.4663,591.5270
3.2V_0.99Hz,3.2000,68.1930,-23.0795
3.2V_0.99Hz,3.2000,60.2132,80.9735
3.2V_0.99Hz,3.2000,80.6095,-140.9396
3.2V_0.99Hz,3.2000,66.7710,19.8255
3.2V_0.99Hz,3.2000,67.6957,-194.8772
3.2V_0.99Hz,3.2000,70.9580,35.2382
3.2V_0.99Hz,3.2000,80.3320,-261.7187
3.2V_0.99Hz,3.2000,51.8408,-137.1232
3.2V_0.99Hz,3.2000,71.3512,-248.5494
3.2V_0.99Hz,3.2000,58.4528,-72.4700
3.2V_0.99Hz,3.2000,70.9087,-178.0962
3.2V_0.99Hz,3.2000,68.2000,6.8354
3.2V_0.99Hz,3.2000,79.1802,-291.3775
3.2V_0.99Hz,3.2000,64.4380,-53.9412
3.2V_0.99Hz,3.2000,57.0250,-4.3051
3.2V_0.99Hz,3.2000,47.4060,-87.3063
3.2V_0.99Hz,3.2000,80.3123,-200.6068
3.2V_0.99Hz,3.2000,64.3940,-15.5428
3.2V_0.99Hz,3.2000,57.4141,-249.4088
3.2V_0.99Hz,3.2000,68.9491,-69.6506
3.2V_0.99Hz,3.2000,57.4770,-1.4311
3.2V_0.99Hz,3.2000,71.4203,-296.7816
3.2V_0.99Hz,3.2000,46.5567,-253.0823
3.2V_0.99Hz,3.2000,53.7137,-141.7510
3.2V_0.99Hz,3.2000,75.3499,-192.6726
3.2V_0.99Hz,3.2000,67.1150,-18.9281
3.2V_0.99Hz,3.2000,57.1813,-240.9221
3.2V_0.99Hz,3.2000,63.0785,-40.5778
3.2V_0.99Hz,3.2000,60.1350,3.0722
3.2V_0.99Hz,3.2000,72.7418,-141.6250
3.2V_0.99Hz,3.2000,64.4010,-5.3051
3.2V_0.99Hz,3.2000,68.9721,-207.6653
3.2V_0.99Hz,3.2000,83.7415,-265.6280
3.2V_0.99Hz,3.2000,48.7518,-211.5199
3.2V_0.99Hz,3.2000,57.7914,-133.3706
3.2V_0.99Hz,3.2000,69.0265,-235.6201
3.2V_0.99Hz,3.2000,61.1801,-43.7225
3.2V_0.99Hz,3.2000,72.7012,-244.9387
3.2V_0.99Hz,3.2000,67.4370,-15.0701
3.2V_0.99Hz,3.2000,68.6998,-111.3966
3.2V_0.99Hz,3.2000,66.6350,-34.1028
3.2V_0.99Hz,3.2000,49.9204,-180.4132
3.2V_0.99Hz,3.2000,53.1734,-145.4371
3.2V_0.99Hz,3.2000,52.1782,-163.8157
3.2V_0.99Hz,3.2000,42.1457,-186.1635
3.2V_0.99Hz,3.2000,48.7326,-129.3234
3.2V_0.99Hz,3.2000,93.7718,-289.6416
3.2V_0.99Hz,3.2000,51.5564,-118.4350
3.2V_0.99Hz,3.2000,46.3520,-106.3470
3.2V_0.99Hz,3.2000,63.3480,-30.6272
3.2V_0.99Hz,3.2000,66.5563,-223.1752
3.2V_0.99Hz,3.2000,68.4910,-21.7004
3.2V_0.99Hz,3.2000,59.5760,-395.4229
3.2V_0.99Hz,3.2000,71.2753,-118.8836
3.2V_0.99Hz,3.2000,51.0600,2.5194
3.2V_0.99Hz,3.2000,68.8836,-186.0915
3.2V_0.99Hz,3.2000,68.4950,25.6363
3.2V_0.99Hz,3.2000,67.6702,-306.5585
3.2V_0.99Hz,3.2000,54.2937,-191.6259
3.2V_1.00Hz,3.2000,26.8052,344.9069
3.2V_1.00Hz,3.2000,46.3220,16.3994
3.2V_1.00Hz,3.2000,47.1081,511.1050
3.2V_1.00Hz,3.2000,29.6637,153.3683
3.2V_1.00Hz,3.2000,69.5229,82.9624
3.2V_1.00Hz,3.2000,43.4112,400.1082
3.2V_1.00Hz,3.2000,63.7978,139.6366
3.2V_1.00Hz,3.2000,57.4713,408.0992
3.2V_1.00Hz,3.2000,28.3857,242.6402
3.2V_1.00Hz,3.2000,58.9559,66.5552
3.2V_1.00Hz,3.2000,40.3377,356.0199
3.2V_1.00Hz,3.2000,24.2167,123.3314
3.2V_1.00Hz,3.2000,59.7771,323.9845
3.2V_1.00Hz,3.2000,74.2504,402.8341
3.2V_1.00Hz,3.2000,69.1542,304.5144
3.2V_1.00Hz,3.2000,55.4074,18.9586
3.2V_1.00Hz,3.2000,52.2326,472.9913
3.2V_1.00Hz,3.2000,30.9215,132.1175
3.2V_1.00Hz,3.2000,74.4592,200.4055
3.2V_1.00Hz,3.2000,32.5883,295.6939
3.2V_1.00Hz,3.2000,61.2266,239.8554
3.2V_1.00Hz,3.2000,38.3774,333.9205
3.2V_1.00Hz,3.2000,35.8609,35.3856
3.2V_1.00Hz,3.2000,76.6019,150.8646
3.2V_1.00Hz,3.2000,30.0875,133.4499
3.2V_1.00Hz,3.2000,26.5660,369.3797
3.2V_1.00Hz,3.2000,29.2027,303.9439
3.2V_1.00Hz,3.2000,68.2757,247.7874
3.2V_1.00Hz,3.2000,36.7168,315.6551
3.2V_1.00Hz,3.2000,56.5884,17.6016
3.2V_1.00Hz,3.2000,57.0948,438.6079
3.2V_1.00Hz,3.2000,28.7323,210.5369
3.2V_1.00Hz,3.2000,74.9649,265.0772
3.2V_1.00Hz,3.2000,75.4224,421.2571
3.2V_1.00Hz,3.2000,36.4486,406.3776
3.2V_1.00Hz,3.2000,30.0137,290.0660
3.2V_1.00Hz,3.2000,66.9742,350.1331
3.2V_1.00Hz,3.2000,42.8391,384.3631
3.2V_1.00Hz,3.2000,39.0221,75.1315
3.2V_1.00Hz,3.2000,39.8192,374.3212
3.2V_1.00Hz,3.2000,34.3135,276.0989
3.2V_1.00Hz,3.2000,67.4581,161.0560
3.2V_1.00Hz,3.2000,35.9906,296.3313
3.2V_1.00Hz,3.2000,66.6878,242.9730
3.2V_1.00Hz,3.2000,34.1229,331.6166
3.2V_1.00Hz,3.2000,75.4494,394.5006
3.2V_1.00Hz,3.2000,70.1018,72.1663
3.2V_1.00Hz,3.2000,59.0358,427.5534
3.2V_1.00Hz,3.2000,19.8542,256.3068
3.2V_1.00Hz,3.2000,61.3673,203.9772
3.2V_1.00Hz,3.2000,37.2217,308.9831
3.2V_1.00Hz,3.2000,67.3222,311.2737
3.2V_1.00Hz,3.2000,40.0909,338.3758
3.2V_1.00Hz,3.2000,51.2824,6.3227
