stem,x_param,theta1_deg,omega1_deg_s
3.2V_0.92Hz,0.9200,57.0733,-353.6484
3.2V_0.92Hz,0.9200,59.4725,-367.0667
3.2V_0.92Hz,0.9200,57.2649,-346.5037
3.2V_0.92Hz,0.9200,57.7060,-336.6616
3.2V_0.92Hz,0.9200,59.2312,-350.6025
3.2V_0.92Hz,0.9200,59.4027,-355.5100
3.2V_0.92Hz,0.9200,59.4664,-339.3958
3.2V_0.92Hz,0.9200,60.3955,-347.1079
3.2V_0.92Hz,0.9200,59.3289,-344.8111
3.2V_0.92Hz,0.9200,59.9101,-338.1577
3.2V_0.92Hz,0.9200,59.6729,-342.9911
3.2V_0.92Hz,0.9200,60.3373,-341.2069
3.2V_0.92Hz,0.9200,58.4623,-347.3913
3.2V_0.92Hz,0.9200,59.7574,-346.1475
3.2V_0.92Hz,0.9200,59.9195,-353.0417
3.2V_0.92Hz,0.9200,59.2751,-344.8573
3.2V_0.92Hz,0.9200,59.0915,-348.3349
3.2V_0.92Hz,0.9200,59.5935,-354.8329
3.2V_0.92Hz,0.9200,58.2067,-355.5084
3.2V_0.92Hz,0.9200,56.1984,-339.5474
3.2V_0.92Hz,0.9200,59.1311,-357.6050
3.2V_0.93Hz,0.9300,68.7214,-251.7599
3.2V_0.93Hz,0.9300,67.2770,-253.0168
3.2V_0.93Hz,0.9300,65.4109,-256.8834
3.2V_0.93Hz,0.9300,69.1391,-264.0392
3.2V_0.93Hz,0.9300,65.0845,-247.2891
3.2V_0.93Hz,0.9300,68.9982,-269.4889
3.2V_0.93Hz,0.9300,65.9932,-248.3898
3.2V_0.93Hz,0.9300,67.6727,-249.3548
3.2V_0.93Hz,0.9300,64.0908,-256.3730
3.2V_0.93Hz,0.9300,67.8039,-258.5680
3.2V_0.93Hz,0.9300,68.5012,-259.1219
3.2V_0.93Hz,0.9300,68.8612,-250.4374
3.2V_0.93Hz,0.9300,64.3093,-251.4688
3.2V_0.93Hz,0.9300,66.0588,-263.8987
3.2V_0.93Hz,0.9300,68.0584,-262.7295
3.2V_0.93Hz,0.9300,64.7398,-257.0783
3.2V_0.93Hz,0.9300,64.0727,-258.9486
3.2V_0.93Hz,0.9300,65.5551,-269.7012
3.2V_0.93Hz,0.9300,70.6875,-226.0699
3.2V_0.93Hz,0.9300,65.7835,-247.2566
3.2V_0.93Hz,0.9300,69.4678,-265.0221
3.2V_0.93Hz,0.9300,64.3340,-247.9560
3.2V_0.93Hz,0.9300,67.5057,-249.6255
3.2V_0.93Hz,0.9300,69.4558,-214.0321
3.2V_0.93Hz,0.9300,75.7640,-233.3970
3.2V_0.93Hz,0.9300,71.6335,-210.8639
3.2V_0.93Hz,0.9300,75.4707,-172.2411
3.2V_0.93Hz,0.9300,71.3401,-208.6088
3.2V_0.93Hz,0.9300,69.1181,-218.1436
3.2V_0.93Hz,0.9300,68.3421,-232.7136
3.2V_0.93Hz,0.9300,66.7173,-235.2210
3.2V_0.93Hz,0.9300,62.7837,-237.4387
3.2V_0.93Hz,0.9300,65.2498,-255.1355
3.2V_0.93Hz,0.9300,64.3862,-246.4494
3.2V_0.93Hz,0.9300,65.9347,-259.4298
3.2V_0.93Hz,0.9300,67.0734,-245.7727
3.2V_0.93Hz,0.9300,66.0892,-252.0200
3.2V_0.93Hz,0.9300,64.3884,-255.9301
3.2V_0.93Hz,0.9300,68.4301,-249.2462
3.2V_0.93Hz,0.9300,66.0307,-252.2850
3.2V_0.93Hz,0.9300,70.4963,-245.5553
3.2V_0.93Hz,0.9300,65.6207,-232.7252
3.2V_0.93Hz,0.9300,68.2499,-248.8342
3.2V_0.93Hz,0.9300,67.9594,-247.5773
3.2V_0.93Hz,0.9300,65.3146,-241.5790
3.2V_0.93Hz,0.9300,65.8005,-252.9671
3.2V_0.93Hz,0.9300,66.9573,-247.4587
3.2V_0.93Hz,0.9300,67.5573,-233.7934
3.2V_0.93Hz,0.9300,65.1672,-231.4717
3.2V_0.93Hz,0.9300,65.9084,-245.9506
3.2V_0.93Hz,0.9300,66.5778,-235.8783
3.2V_0.93Hz,0.9300,64.6200,-245.5948
3.2V_0.93Hz,0.9300,65.6296,-243.0790
3.2V_0.93Hz,0.9300,65.1720,-248.0012
3.2V_0.94Hz,0.9400,34.1539,-432.8127
3.2V_0.94Hz,0.9400,36.3470,-440.6978
3.2V_0.94Hz,0.9400,34.0811,-432.2768
3.2V_0.94Hz,0.9400,27.2155,-391.8193
3.2V_0.94Hz,0.9400,30.8933,-516.1043
3.2V_0.94Hz,0.9400,31.6965,-367.9098
3.2V_0.94Hz,0.9400,33.4123,-461.1081
3.2V_0.94Hz,0.9400,33.5258,-455.1255
3.2V_0.94Hz,0.9400,36.6633,-461.1728
3.2V_0.94Hz,0.9400,31.4063,-517.9612
3.2V_0.94Hz,0.9400,45.9824,-575.1694
3.2V_0.94Hz,0.9400,8.3249,-507.8990
3.2V_0.94Hz,0.9400,27.6134,-497.2204
3.2V_0.94Hz,0.9400,32.1539,-511.0481
3.2V_0.94Hz,0.9400,31.8324,-452.6281
3.2V_0.94Hz,0.9400,35.6162,-463.2538
3.2V_0.94Hz,0.9400,37.1787,-468.3763
3.2V_0.94Hz,0.9400,29.4586,-527.7402
3.2V_0.94Hz,0.9400,37.9711,-203.6788
3.2V_0.94Hz,0.9400,35.9483,-497.3228
3.2V_0.94Hz,0.9400,29.9428,-425.7612
3.2V_0.94Hz,0.9400,39.0748,-457.9806
3.2V_0.94Hz,0.9400,34.4453,-446.6020
3.2V_0.94Hz,0.9400,40.3087,-360.3704
3.2V_0.94Hz,0.9400,36.2213,-458.9079
3.2V_0.94Hz,0.9400,42.2815,-498.6476
3.2V_0.94Hz,0.9400,37.6128,-372.3517
3.2V_0.94Hz,0.9400,37.1513,-463.1093
3.2V_0.94Hz,0.9400,39.9026,-494.5358
3.2V_0.94Hz,0.9400,36.8670,-390.4974
3.2V_0.94Hz,0.9400,32.4252,-471.3964
3.2V_0.94Hz,0.9400,44.4632,-450.6617
3.2V_0.94Hz,0.9400,27.8891,-517.8120
3.2V_0.94Hz,0.9400,42.6605,-6.3692
3.2V_0.94Hz,0.9400,29.8327,-416.2934
3.2V_0.94Hz,0.9400,36.5462,-476.6936
3.2V_0.94Hz,0.9400,34.4511,-471.1521
3.2V_0.94Hz,0.9400,32.7143,-449.9483
3.2V_0.94Hz,0.9400,31.8393,-470.6264
3.2V_0.94Hz,0.9400,29.0031,-505.6892
3.2V_0.94Hz,0.9400,-11.1367,-527.3863
3.2V_0.94Hz,0.9400,14.6747,-425.9574
3.2V_0.94Hz,0.9400,39.8624,-428.0965
3.2V_0.94Hz,0.9400,36.8365,-476.0729
3.2V_0.94Hz,0.9400,24.8659,-520.6191
3.2V_0.94Hz,0.9400,37.4796,-121.7450
3.2V_0.94Hz,0.9400,33.2978,-484.3657
3.2V_0.94Hz,0.9400,33.5870,-460.7623
3.2V_0.94Hz,0.9400,30.8555,-467.7247
3.2V_0.94Hz,0.9400,32.1916,-493.6444
3.2V_0.94Hz,0.9400,32.1306,-386.6164
3.2V_0.94Hz,0.9400,34.0911,-461.8952
3.2V_0.94Hz,0.9400,27.8143,-445.9446
3.2V_0.94Hz,0.9400,31.6347,-507.2355
3.2V_0.94Hz,0.9400,21.4707,-478.6582
3.2V_0.94Hz,0.9400,26.6048,-439.8154
3.2V_0.94Hz,0.9400,35.5496,-481.3979
3.2V_0.94Hz,0.9400,33.7973,-469.5063
3.2V_0.94Hz,0.9400,36.3231,-395.7709
3.2V_0.94Hz,0.9400,31.9227,-456.1996
3.2V_0.94Hz,0.9400,27.0367,-433.2212
